,en
liberals,Либералы
socialists,Социалисты
communists,Коммунисты
fascists,Фашисты
libertarians,Либертарианцы
conservators,Консерваторы
,
free_trade,Свободная торговля
protectionism,Протекционизм
,
pacifism,Пацифизм
militarism,Милитаризм
expansionism,Экспансионизм
,
military_dictatorship,Военная диктатура
royal_dictatorship,Королевская диктатура
monarchy,Конституционная монархия
republic,Республика
soviet_republic,Диктатура пролетариата
fascist_dictatorship,Фашистская диктатура
,
free_economy,Рыночная экономика
interventionism,Частичное вмешательство
dirigisme,Смешанная экономика
planned_economy,Плановая экономика
,
residence_permit,Вид на жительство
limited_citizenship,Ограниченное гражданство
full_citizenship,Полное гражданство
,
com_party_name_1,Коммунистическая партия
com_party_name_2,
com_party_name_3,
com_party_name_4,
com_party_name_5,
com_party_name_6,
com_party_name_7,
com_party_name_8,
,
con_party_name_1,Консервативная партия
con_party_name_2,
con_party_name_3,
con_party_name_4,
con_party_name_5,
con_party_name_6,
con_party_name_7,
con_party_name_8,
,
fas_party_name_1,Фашистская партия
fas_party_name_2,Национальная рабочая партия
fas_party_name_3,Партия национальной свободы
fas_party_name_4,Союз борьбы
fas_party_name_5,Черный фронт
fas_party_name_6,Партия чернорубашечников
fas_party_name_7,Национал-социалистическая рабочая партия
fas_party_name_8,Железное говно
,
lib_party_name_1,Либеральная партия
lib_party_name_2,
lib_party_name_3,
lib_party_name_4,
lib_party_name_5,
lib_party_name_6,
lib_party_name_7,
lib_party_name_8,
,
anarcho_lib_party_name_1,Либертарианская партия
anarcho_lib_party_name_2,
anarcho_lib_party_name_3,
anarcho_lib_party_name_4,
anarcho_lib_party_name_5,
anarcho_lib_party_name_6,
anarcho_lib_party_name_7,
anarcho_lib_party_name_8,
,
soc_party_name_1,Социалистическая партия
soc_party_name_2,
soc_party_name_3,
soc_party_name_4,
soc_party_name_5,
soc_party_name_6,
soc_party_name_7,
soc_party_name_8,
