,en
factory_cost,Стоимость фабрик
max_working_day,Макс. рабочий день
min_salary,Минимальная зарплата
pensions,Пенсии
unemployment_benefit,Пособия по безработице
healthcare,Здравоохранение
parliamentary_elections,Выборы в парламент
ruling_party_elections,Выборы правящей партии
voting_rights,Избирательные права
,
rich_classes_votes,Голоса боагтых
middle_classes_votes,Голоса средняков
poor_classes_votes,Голоса бедных
,
electing_authorities,Избрание властей
political_rights,Политические права
labour_reforms,Реформы труда
social_protection,Социальная защита
